battvolt,actual_battery_volt,gpio33_volt
4095,4.043,3.236
4095,4.042,3.232
4095,4.036,3.227
4095,4.030,3.222
4095,4.024,3.218
4095,4.014,3.210
4095,4.001,3.203
4095,3.999,3.198
4039,3.934,3.146
4048,3.937,3.147
4047,3.940,3.150
4048,3.941,3.151
4057,3.943,3.153
4079,3.943,3.153
4054,3.944,3.154
4053,3.943,3.153
4048,3.940,3.151
4045,3.934,3.146
3933,3.878,3.101
3941,3.876,3.100
3931,3.875,3.097
3922,3.869,3.094
3920,3.867,3.091
3905,3.859,3.086
3905,3.859,3.086
3904,3.857,3.085
3904,3.856,3.083
3901,3.854,3.081
3898,3.855,3.083
3891,3.852,3.080
3885,3.844,3.074
3879,3.842,3.072
3877,3.840,3.071
3873,3.840,3.071
3855,3.830,3.063
3840,3.823,3.057
3821,3.812,3.049
3825,3.912,3.049
3781,3.786,3.030
3709,3.752,3.000
3722,3.752,3.000
3714,3.747,2.996
3685,3.737,1.283
